,topic number,label,keywords
0,0,score risk machine models engine intelligence,machine embodiments score risk level learning management models intelligence techniques
1,1,position location reality distance sensor,operation location reality environment object sensor objects position event display
2,2,resources services functions cloud applications,platform application environment resource service software management disclosure resources embodiments
3,3,programs request apparatus target blockchain storage media media network,computer request node media response programs transaction target herein specification
4,4,consensus blockchain nodes node transaction,transaction ledger operation node nodes block transactions request blocks consensus
5,5,air housing fluid outlet temperature,power surface invention sensor body devices housing material patient health
6,6,output communication port network processor operations communication network processor display hyperlink presentation interface display content,content processor interface display communication output video presentation stream media
7,7,block blocks hash merkle-root node,block blocks hash node nodes structure values tree consensus header
8,8,image training medium medium text field,medium image field computer target disclosure intelligence feature learning detection
9,9,consumers communities expertise community subsets network,platform application herein invention services embodiments consumers media community providers
10,10,gaming game gaming implementations ownership platform online,platform game item asset ownership non-fungible-tokens implementations nfts gaming nft
11,11,currency exchange payment funds transaction account payment,transaction payment transactions account amount cryptocurrency transfer request exchange currency
12,12,vehicle cargo location driver vehicles,vehicle location vehicles event delivery devices item events computer items
13,13,communication messages network transmission packet,communication devices node nodes communications networks message channel server transmission
14,14,page content url display browser,code application content display response interface file media server image
15,15,memory processor circuit unit instructions instructions,processor memory instructions communication interface program computer module unit embodiment
16,16,identity authentication token authorization request,request authentication access identity server response service identifier verification token
17,17,ledger record records metadata entities,ledger embodiments computer database transaction management record access records transactions
18,18,public-key key private-key signature pair,key encryption signature public-key private-key transaction hash keys secure pair
19,19,signals power station energy signal,communication power control vehicle energy operation signal wireless unit signals
