,topic number,label,dmr_keywords
0,0,supply chain food food supply food safety supply chain traceability,supply traceability food industry logistics chains quality products production manufacturing
1,1,revocation ciphertext decryption encryption keys,privacy scheme access storage control authentication identity encryption protection secure
2,2,sdn fog things iot iot devices internet things iot,iot internet things devices networks edge communication privacy architecture applications
3,3,cryptocurrencies investors currencies cryptocurrency cryptocurrency market,bitcoin cryptocurrency transactions transaction payment cryptocurrencies market currency money price
4,4,pow proof-of-work pow consensus protocol liveness proof-of-work,consensus block nodes protocol algorithm transaction mining transactions performance blockchains
5,5,contracts execution smart contracts code contract,contracts contract ethereum platform service applications framework software architecture smart
6,6,design/methodology/approach originality/value limitations/implications research limitations/implications implications,research industry review applications literature adoption application economy innovation intelligence
7,7,electricity market prosumers energy trading energy resources demand response,energy power trading market grid electricity transaction consumption demand resources
8,8,patients health patient health care care,health healthcare records education patients privacy record care patient insurance
9,9,focus conference papers focus conference proceedings papers focus conference proceedings papers focus papers focus,learning detection machine conference algorithm proceedings topics papers prediction image
