topic_num,keywords
1,banks bank payments transactions payment blockchain-technology customers banking credit platform credit bank investment capital investors banks assets markets funds asset
2,china country kong city government hong economy beijing intelligence yuan china country government economy asia countries city kong singapore trade
3,crypto platform tokens token ethereum ecosystem network content community investors blockchain-technology transactions security access transparency secure ledger transaction platform network crypto platform tokens token ecosystem community content ethereum network investors
4,country economy government countries policy sector trade role growth nations economy sector countries growth future need role opportunities impact policy
5,university students education skills science school training learning engineering career students university education skills science school training learning knowledge engineering
6,capital venture investment investors firm funding fund investments funds executive venture capital firm investors startup funding tech investment startups executive
7,bitcoin transactions cryptocurrencies money currency currencies transaction computer computers ledger bank currency currencies banks digital-currency money dollar payments cryptocurrencies countries bank currency banks payment payments currencies transactions money cryptocurrencies bitcoin
8,india delhi government country content permission crore platform ceo mumbai india delhi government country content permission minister crore mumbai rs
9,president washington house office states center executive committee group administration city home president family office house group center children night
10,visit states application patent http images office tables charts trademark application patent visit http images charts tables states office trademark
11,singapore states source asia platform philippines group securities provider mr
12,intelligence ai solutions cloud analytics customer businesses customers software learning intelligence ai growth solutions innovation businesses experience cloud transformation customers
13,law regulators rules regulation laws regulations securities crypto securities-and-exchange-commission commission regulators securities regulation rules law regulations laws regulator exchange securities-and-exchange-commission
14,bitcoin cryptocurrencies price investors crypto trading prices exchange investment asset crypto exchange ftx collapse assets investors trading binance funds firm bitcoin crypto investors cryptocurrencies price trading exchange prices assets ethereum
15,nfts art nft artist ownership artists auction sale non-fungible-tokens collection nfts nft art metaverse game non-fungible-tokens games platform artists ownership
16,sports football fans game league players team season games teams
17,stock stocks shares price growth prices earnings markets quarter investors stock shares stocks growth earnings price markets rates prices investors
18,capital la euro que price el investment investors banks se
19,el la que para respect del warranties merchantability availability output
20,asx chess australia replacement review credit accounts clients date commonwealth
21,property organization publication geneva wipo patent invention application title requirement
22,claire var brownell eur rivet bringing price parkin investment insight
23,startups millions capital funding startup pitch cofounder employees deck decks
24,security department money law hackers investigation attacks crime enforcement cyber money security department law funds hackers enforcement investigation crime crypto
25,dubai innovation uae event future government al sector region opportunities dubai innovation event uae future ceo region opportunities al growth
26,health cars vehicles intelligence care patients car devices healthcare access
27,metaverse game games nfts platform gaming content web3 experience media
28,things something lot thing money everyone idea fact kind everything things something thing lot idea fact point kind question times
29,supply food production energy carbon quality vehicles health consumers water energy supply carbon production emissions gas electricity power climate food
30,mining energy power bitcoin miners electricity computers consumption cryptocurrencies transactions
31,home family life city children friends group man food house
32,source states media platform contact website content ceo blockchain-technology service
