topic_num,keywords
1,"asset, assets, bank, banking, banks, blockchain-technology, capital, credit, customers, funds, investment, investors, markets, payment, payments, platform, transactions"
2,"asia, beijing, china, city, countries, country, economy, government, hong, intelligence, kong, singapore, trade, yuan"
3,"access, blockchain-technology, community, content, crypto, ecosystem, ethereum, investors, ledger, network, platform, secure, security, token, tokens, transaction, transactions, transparency"
4,"countries, country, economy, future, government, growth, impact, nations, need, opportunities, policy, role, sector, trade"
5,"career, education, engineering, knowledge, learning, school, science, skills, students, training, university"
6,"capital, executive, firm, fund, funding, funds, investment, investments, investors, startup, startups, tech, venture"
7,"bank, banks, bitcoin, computer, computers, countries, cryptocurrencies, currencies, currency, digital-currency, dollar, ledger, money, payment, payments, transaction, transactions"
8,"ceo, content, country, crore, delhi, government, india, minister, mumbai, permission, platform, rs"
9,"administration, center, children, city, committee, executive, family, group, home, house, night, office, president, states, washington"
10,"application, charts, http, images, office, patent, states, tables, trademark, visit"
11,"asia, group, mr, philippines, platform, provider, securities, singapore, source, states"
12,"ai, analytics, businesses, cloud, customer, customers, experience, growth, innovation, intelligence, learning, software, solutions, transformation"
13,"commission, crypto, exchange, law, laws, regulation, regulations, regulator, regulators, rules, securities, securities-and-exchange-commission"
14,"asset, assets, binance, bitcoin, collapse, crypto, cryptocurrencies, ethereum, exchange, firm, ftx, funds, investment, investors, price, prices, trading"
15,"art, artist, artists, auction, collection, game, games, metaverse, nft, nfts, non-fungible-tokens, ownership, platform, sale"
16,"fans, football, game, games, league, players, season, sports, team, teams"
17,"earnings, growth, investors, markets, price, prices, quarter, rates, shares, stock, stocks"
18,"banks, capital, el, euro, investment, investors, la, price, que, se"
19,"availability, del, el, la, merchantability, output, para, que, respect, warranties"
20,"accounts, asx, australia, chess, clients, commonwealth, credit, date, replacement, review"
21,"application, geneva, invention, organization, patent, property, publication, requirement, title, wipo"
22,"bringing, brownell, claire, eur, insight, investment, parkin, price, rivet, var"
23,"capital, cofounder, deck, decks, employees, funding, millions, pitch, startup, startups"
24,"attacks, crime, crypto, cyber, department, enforcement, funds, hackers, investigation, law, money, security"
25,"al, ceo, dubai, event, future, government, growth, innovation, opportunities, region, sector, uae"
26,"access, car, care, cars, devices, health, healthcare, intelligence, patients, vehicles"
27,"content, experience, game, games, gaming, media, metaverse, nfts, platform, web3"
28,"everyone, everything, fact, idea, kind, lot, money, point, question, something, thing, things, times"
29,"carbon, climate, consumers, electricity, emissions, energy, food, gas, health, power, production, quality, supply, vehicles, water"
30,"bitcoin, computers, consumption, cryptocurrencies, electricity, energy, miners, mining, power, transactions"
31,"children, city, family, food, friends, group, home, house, life, man"
32,"blockchain-technology, ceo, contact, content, media, platform, service, source, states, website"
